Title,Price,Description,Image URL,Dimensions,Source URL
Whitman Armchair,"Rs. 24,500.00","The Whitman Armchair is a plush seating made from high-quality Sheesham wood and features a soft linen cover. This luxurious combination offers both comfort and durability for any living space. With a sleek and modern design, this armchair is a must-have for any home.",//timbermanor.in/cdn/shop/files/BF09D4DC-E9C7-4A17-9962-4A6A240349D4.png?v=1718313188&width=1946,,https://timbermanor.in/products/nelson-single-seater
Busan Lounger,"Rs. 23,850.00","Experience ultimate comfort and relaxation with the Busan Lounger! Made with plush cotton upholstery and durable rattan, this lounge chair offers a luxurious and comfortable seating experience. Perfect for unwinding after a long day or enjoying a good book. Treat yourself to the ultimate lounge experience with the Busan Lounger.",//timbermanor.in/cdn/shop/files/7EC76AD1-FE0A-4D82-ADEF-D5917FCA5F8E.png?v=1717405558&width=1946,,https://timbermanor.in/products/untitled-may20_18-20
Nelson Crockery Unit,"Rs. 44,500.00","Expertly crafted to organize and display your crockery and barware, the Nelson Crockery Unit combines intricate design with practical functionality. Keep your kitchen or dining area tidy and stylish with this must-have piece.",//timbermanor.in/cdn/shop/files/BB7E89AC-899B-4F36-99DF-CB2FBCA37AAA.png?v=1720959851&width=1946,"Length- 72in
Height- 48in
Depth- 16in",https://timbermanor.in/products/nelson-crockery-unit
Oxford Bar Cabinet,"Rs. 165,000.00","Experience the elegance and grandeur of an English phone booth with our Oxford Bar Cabinet. This majestic bar unit features a unique design that is sure to add sophistication and charm to any home. With plenty of storage space for your favorite beverages and barware, it's a functional and stylish addition to any living space.",//timbermanor.in/cdn/shop/files/54BF6E9F-77E6-4BDF-B433-F0A8ED1564DF.png?v=1718130997&width=1946,"Length- 60in
Height- 120in
Depth- 24in",https://timbermanor.in/products/untitled-jun11_23-35
Cabao Bar Cabinet,"Rs. 46,500.00","The Cabao Bar Cabinet combines Spanish-inspired design with functional storage and drawers. This unique piece is perfect for adding a touch of style and organization to your home bar. With a spacious interior and sleek exterior, it's sure to elevate your space.",//timbermanor.in/cdn/shop/files/F7372A33-04BB-41DE-8058-24E90404C0A5.jpg?v=1716788331&width=1946,"Height- 72in
Width-28in
Depth- 18in",https://timbermanor.in/products/untitled-may22_09-29
Cancun Bar Cabinet,"Rs. 36,850.00","The Cancun Bar Cabinet combines antiquity and utilitarian design, featuring handcrafted panels and an immaculate finish. Its purpose is to add elegance and functionality to any living space. Expertly crafted, this bar cabinet is perfect for storing and serving drinks and makes a beautiful addition to any home decor.",//timbermanor.in/cdn/shop/files/48A402A9-60AF-4EE6-B867-9FE8B61F0BCA.png?v=1716209408&width=1946,"Height- 66in
Width- 32in
Depth- 18in",https://timbermanor.in/products/cancun-bar-cabinet
Tudor Bar Cabinet,"Rs. 31,850.00",No description available,//timbermanor.in/cdn/shop/files/BB7A909E-A80A-4024-AE1D-F7C500430CE0.jpg?v=1682598463&width=1946,"Height- 44in
Width- 38in
Depth- 14in",https://timbermanor.in/products/tudor-bar-cabinet
Atlantis Bar Cabinet,"Rs. 36,850.00","Maximize your storage space and ease of access with our Sailor themed bar cabinet. This expertly crafted piece features a drop down shelf and custom design perfect for any party. Plus, as a made to order product, you can trust in its quality and functionality. This is a made to order product, please contact us if you’d like the dimensions or the finish to be altered.",//timbermanor.in/cdn/shop/files/F552A9FA-C125-4BF9-A669-302552C22B75_1_201_a.jpg?v=1683477756&width=1946,"Height- 60 in
Width- 40 in
Depth- 16in",https://timbermanor.in/products/atlantis-bar-cabinet
Diona Storage Bed,"Rs. 46,000.00","Diona Queen Bed is expertly crafted with hydraulic storage for ease of access and a clean, streamlined look. Upholstered for added comfort and style, this bed is the perfect addition to any bedroom. Experience convenience and elegance with the Diona Queen Bed.",//timbermanor.in/cdn/shop/files/9FE712BF-2888-47E1-9980-B5DF32CECCB3.png?v=1721033637&width=1946,"Width- 63in
Length- 81in
Headboard- 42in",https://timbermanor.in/products/diona-queen-bed-1
Caitlyn Bed,"Rs. 36,500.00","The Caitlyn Queen Bed is a sleek and modern addition to any bedroom. With its minimalistic design and upholstered finish, it offers both style and comfort. Crafted with high-quality materials, this bed will provide a restful night's sleep for years to come. Elevate your bedroom with this elegant and functional piece.",//timbermanor.in/cdn/shop/files/3E9132AB-40F5-4984-A41D-C7A82A07FD6E.png?v=1718183294&width=1946,,https://timbermanor.in/products/caitlyn-queen-bed
